,rankings,name,stars,number_of_ratings,price,price range
0,0,"Fire TV Stick with Alexa Voice Remote (includes TV controls), HD streaming device",4.0,87946,19.99,under 25
1,1,"Fire TV Stick 4K streaming device with Alexa Voice Remote (includes TV controls), Dolby Vision",4.0,5714,24.99,under 25
2,2,Echo Dot (3rd Gen) - Smart speaker with Alexa - Charcoal,4.0,783750,19.99,under 25
3,3,"Introducing Fire TV Stick 4K Max streaming device, Wi-Fi 6, Alexa Voice Remote (includes TV controls)",4.0,4360,34.99,$25 to $50
4,4,Fire TV Stick 4K streaming device with Alexa Voice Remote (includes TV controls) | Dolby Vision,4.0,763724,24.99,under 25
5,5,Roku Streaming Stick 4K 2021 | Streaming Device 4K/HDR/Dolby Vision with Roku Voice Remote and TV Controls,4.0,874,29.0,$25 to $50
6,6,"Fire HD 8 Kids tablet, 8"" HD display, ages 3-7, 32 GB, Blue Kid-Proof Case",4.0,99789,69.99,$50 to $100
7,7,Apple AirTag,4.0,22960,29.0,$25 to $50
8,8,"Amazon Smart Plug, Works with Alexa – A Certified for Humans Device",4.0,459059,24.99,under 25
9,9,Fujifilm Instax Mini Instant Film Twin Pack (White),4.0,104091,13.38,under 25
10,10,Echo Auto- Hands-free Alexa in your car with your phone,4.0,134815,14.99,under 25
11,11,Roku Streaming Stick+ | HD/4K/HDR Streaming Device with Long-range Wireless and Roku Voice Remote with TV Controls,4.0,102286,29.99,$25 to $50
12,12,"Apple Watch SE (GPS, 40mm) - Silver Aluminum Case with Abyss Blue Sport Band",4.0,23391,219.0,$200 and above
13,13,"Echo Show 8 (1st Gen, 2019 release) -- HD smart display with Alexa – Unlimited Cloud Photo Storage – Digital Photo Display - Charcoal",4.0,239734,59.99,$50 to $100
14,14,Apple AirTag 4 Pack,4.0,22960,97.62,$50 to $100
15,15,"Fire 7 tablet, 7"" display, 16 GB, latest model (2019 release), Black",4.0,209850,34.99,$25 to $50
16,16,"Fire 7 Kids tablet, 7"" Display, ages 3-7, 16 GB, Blue Kid-Proof Case",4.0,200666,59.99,$50 to $100
17,17,"All-new Echo Show 5 (2nd Gen, 2021 release) | Smart display with Alexa and 2 MP camera | Charcoal",4.0,17610,44.99,$25 to $50
18,18,"Introducing Amazon Halo View fitness tracker, with color display for at-a-glance access to heart rate, activity, and sleep tracking – Active Black – Small/Medium",0.0,0,49.99,$25 to $50
