,names,tomatometer,number_of_reviews,movie_info,audience_score,audience_count,critics_count
0,"
            It Happened One Night (1934)", 99%,98,"1934, Romance/Comedy, 1h 45m",93,"25,000+ Ratings",98 Reviews
1,"
            The Wizard of Oz (1939)", 98%,160,"1939, Musical/Kids & family, 1h 41m",89,"250,000+ Ratings",160 Reviews
2,"
            Citizen Kane (1941)", 99%,120,"1941, Drama, 1h 59m",90,"100,000+ Ratings",120 Reviews
3,"
            Modern Times (1936)", 98%,109,"1936, Comedy, 1h 29m",95,"25,000+ Ratings",109 Reviews
4,"
            Black Panther (2018)", 96%,525,"2018, Adventure/Action, 2h 14m",79,"50,000+ Ratings",525 Reviews
5,"
            Parasite (Gisaengchung) (2019)", 98%,464,"2019, Comedy/Mystery & thriller, 2h 12m",90,"5,000+ Verified Ratings",464 Reviews
6,"
            Avengers: Endgame (2019)", 94%,547,"2019, Sci-fi/Adventure, 3h 1m",90,"50,000+ Ratings",547 Reviews
7,"
            Casablanca (1942)", 99%,124,"1942, Drama, 1h 42m",95,"250,000+ Ratings",124 Reviews
8,"
            Knives Out (2019)", 97%,467,"2019, Crime/Comedy, 2h 10m",92,"25,000+ Verified Ratings",467 Reviews
9,"
            Us (2019)", 93%,553,"2019, Horror/Mystery & thriller, 1h 56m",59,"10,000+ Ratings",553 Reviews
10,"
            Toy Story 4 (2019)", 97%,453,"2019, Comedy/Kids & family, 1h 40m",94,"50,000+ Verified Ratings",453 Reviews
11,"
            Lady Bird (2017)", 99%,398,"2017, Comedy/Drama, 1h 34m",79,"10,000+ Ratings",398 Reviews
12,"
            Mission: Impossible - Fallout (2018)", 97%,437,"2018, Action/Mystery & thriller, 2h 27m",88,"10,000+ Ratings",437 Reviews
13,"
            BlacKkKlansman (2018)", 96%,447,"2018, Crime/Comedy, 2h 14m",83,"10,000+ Ratings",447 Reviews
14,"
            Get Out (2017)", 98%,397,"2017, Horror/Comedy, 1h 44m",86,"50,000+ Ratings",397 Reviews
15,"
            The Irishman (2019)", 95%,455,"2019, Crime/Drama, 3h 29m",86,"1,000+ Verified Ratings",455 Reviews
16,"
            The Godfather (1972)", 97%,133,"1972, Crime/Drama, 2h 57m",98,"250,000+ Ratings",133 Reviews
17,"
            Mad Max: Fury Road (2015)", 97%,434,"2015, Adventure/Action, 2h 0m",86,"100,000+ Ratings",434 Reviews
18,"
            Spider-Man: Into the Spider-Verse (2018)", 97%,393,"2018, Fantasy/Adventure, 1h 57m",93,"10,000+ Ratings",393 Reviews
19,"
            Sunset Boulevard (1950)", 98%,110,"1950, Drama, 1h 50m",95,"50,000+ Ratings",110 Reviews
20,"
            Moonlight (2016)", 98%,393,"2016, Drama/Lgbtq+, 1h 51m",79,"25,000+ Ratings",393 Reviews
21,"
            All About Eve (1950)", 99%,103,"1950, Drama, 2h 18m",94,"25,000+ Ratings",103 Reviews
22,"
            The Cabinet of Dr. Caligari (Das Cabinet des Dr. Caligari) (1920)", 99%,68,"1919, Fantasy/Mystery & thriller, 1h 9m",89,"25,000+ Ratings",68 Reviews
23,"
            The Philadelphia Story (1940)", 100%,102,"1940, Romance/Comedy, 1h 52m",93,"25,000+ Ratings",102 Reviews
24,"
            Roma (2018)", 96%,404,"2018, Drama, 2h 15m",72,"5,000+ Ratings",404 Reviews
25,"
            Wonder Woman (2017)", 93%,471,"2017, Adventure/Action, 2h 21m",83,"100,000+ Ratings",471 Reviews
26,"
            A Star Is Born (2018)", 90%,528,"2018, Romance/Drama, 2h 15m",79,"10,000+ Ratings",528 Reviews
